population,states

"39,536,653",California

"28,304,596",Texas

"20,984,400",Florida

"19,849,399",New York

"12,805,537",Pennsylvania

"12,802,023",Illinois

"11,658,609",Ohio

"10,429,379",Georgia

"10,273,419",North Carolina

"9,962,311",Michigan

"9,005,644",New Jersey

"8,470,020",Virginia

"7,405,743",Washington

"7,016,270",Arizona

"6,859,819",Massachusetts

"6,715,984",Tennessee

"6,666,818",Indiana

"6,113,532",Missouri

"6,052,177",Maryland

"5,795,483",Wisconsin

"5,607,154",Colorado

"5,576,606",Minnesota

"5,024,369",South Carolina

"4,874,747",Alabama

"4,684,333",Louisiana

"4,454,189",Kentucky

"4,142,776",Oregon

"3,930,864",Oklahoma

"3,588,184",Connecticut

"3,145,711",Iowa

"3,101,833",Utah

"3,004,279",Arkansas

"2,998,039",Nevada

"2,984,100",Mississippi

"2,913,123",Kansas

"2,088,070",New Mexico

"1,920,076",Nebraska

"1,815,857",West Virginia

"1,716,943",Idaho

"1,427,538",Hawaii

"1,342,795",New Hampshire

"1,335,907",Maine

"1,059,639",Rhode Island

"1,050,493",Montana

"961,939",Delaware

"869,666",South Dakota

"755,393",North Dakota

"739,795",Alaska

"693,972",District of Columbia

"623,657",Vermont

"579,315",Wyoming

